,x,loss
68,"[1.         0.58752484 1.         0.         0.90622051 0.1813816
 0.         1.         0.09353483 0.         0.55694821 0.44122456
 0.48791522 0.84456494 0.11790282 1.         0.89964884 0.30863985
 0.         1.         0.03896828 1.         0.62926511 0.36093261
 0.07701662 0.         0.         1.        ]",209231.24770360324
69,"[0.66783396 1.         0.         0.74507685 0.         0.31995882
 0.14108396 0.32516045 0.51681937 1.         0.49669807 0.34926945
 0.61310772 0.08753177 0.59043022 1.         0.55370095 0.
 0.96728197 0.         0.         0.         0.75733683 1.
 1.         0.         0.07245869 0.24802143]",2455547.109285735
70,"[0.         1.         1.         0.38475474 0.56171675 1.
 0.65365411 0.96356395 0.67798385 0.         0.20346452 0.
 0.74695098 0.77547447 0.         1.         0.86105992 0.35313273
 0.48305798 0.23080527 0.02096321 0.76451027 0.         0.83765707
 0.31607702 1.         0.         0.81355378]",2472626.134752885
71,"[1.         0.37220022 1.         0.36413969 0.71298325 0.
 0.05654338 0.         0.33784241 0.         0.55802512 0.27972279
 0.06353556 0.         1.         0.         0.         0.11107557
 0.48910081 0.36977417 0.37997158 0.         1.         1.
 0.30196504 1.         0.07181648 0.51621576]",2476063.4208723903
72,"[1.         0.78959494 0.         1.         0.         0.19648423
 0.         0.03477098 0.41364445 1.         1.         1.
 0.49976505 0.69780799 0.         1.         0.98701755 0.
 1.         0.85949203 0.         0.18974542 1.         0.
 0.78678847 0.07730821 0.         0.43348963]",3605345.4364323565
73,"[4.61731456e-02 3.43094239e-01 1.00000000e+00 0.00000000e+00
 3.73694045e-02 1.00572186e-01 5.21593836e-01 0.00000000e+00
 7.92062864e-01 0.00000000e+00 1.00000000e+00 1.00000000e+00
 3.10526757e-01 4.51214683e-01 5.00340987e-01 1.00000000e+00
 0.00000000e+00 5.35374463e-04 1.00000000e+00 0.00000000e+00
 1.10810775e-01 3.60112554e-01 1.00000000e+00 3.81315792e-01
 2.56440057e-01 1.00000000e+00 1.30766331e-01 1.92004430e-01]",3834759.708894833
74,"[1.         1.         0.         1.         0.         0.
 0.99069398 0.72644758 0.         1.         0.95847758 0.80104451
 0.20158063 1.         0.36975764 0.         0.         1.
 0.0960628  0.34150156 0.         0.         0.69135404 0.
 0.         0.         0.46353812 1.        ]",3964253.4418040435
75,"[0.02529449 0.08330733 1.         0.65063353 1.         0.
 0.73895861 1.         0.         0.83056875 1.         0.
 0.32447784 0.89557876 0.64555212 1.         0.94298196 1.
 0.43529182 0.62654661 0.19588995 1.         1.         0.
 1.         0.70578322 0.         1.        ]",4066385.639602366
76,"[0.         1.         0.32385601 0.76812005 0.         0.53703854
 0.64002553 0.84392072 0.01256932 0.         0.15050536 0.17445329
 0.50419402 1.         0.0649778  0.72038125 0.75476818 0.
 0.21972026 1.         0.         0.37623718 0.94428247 0.95558422
 0.53953857 0.         0.25999223 1.        ]",4152025.9102773187
77,"[0.43937309 0.         1.         0.         0.53096906 0.15229183
 0.         0.26630252 0.         0.04895983 0.45300668 0.97494304
 0.         0.22913077 0.6809171  0.         0.         0.
 0.         0.2568731  0.50449821 0.25908518 1.         1.
 0.1331704  0.13656103 0.         0.        ]",38732869.584213205
78,"[0.         0.90828936 0.80814169 1.         0.         0.4243912
 0.19933534 0.54655207 0.93409295 0.         0.         0.18265078
 0.23893802 1.         0.         0.         0.11524487 0.
 1.         0.81869933 0.66999824 0.85062279 0.46839427 0.82962078
 1.         0.92956066 0.         0.1079815 ]",129645172.77689339
